,timestamp,landmarks
0,0.0,"{'Head_end': [0.5174044370651245, 0.47042161226272583, -1.0857899188995361], 'UpperArmL': [0.6600786447525024, 0.7346973419189453, -0.6058962345123291], 'UpperArmR': [0.36067599058151245, 0.7007455825805664, -0.6200104355812073], 'LoweArmL': [0.7536770701408386, 0.9858907461166382, -0.6384372711181641], 'LoweArmR': [0.24291391670703888, 0.8931744694709778, -0.734935998916626], 'HandL': [0.8002711534500122, 1.263742446899414, -0.7190845608711243], 'HandR': [0.14946654438972473, 1.0065556764602661, -0.9476686716079712], 'Hip.L': [0.5742592811584473, 1.0966567993164062, 0.004269873723387718], 'Hip.R': [0.42561379075050354, 1.0918190479278564, -0.0037166704423725605], 'ShinL': [0.6145380735397339, 0.8811700344085693, 0.234415203332901], 'ShinR': [0.3893011212348938, 0.9362728595733643, 0.1150229349732399], 'FootL': [0.5628774762153625, 1.1352194547653198, 0.6666133403778076], 'FootR': [0.40453171730041504, 1.1739907264709473, 0.531662106513977], 'FootL_end': [0.6008148193359375, 1.2175430059432983, 0.5875431299209595], 'FootR_end': [0.40276020765304565, 1.2265132665634155, 0.42213383316993713]}"
1,533.3333000093699,"{'Head_end': [0.4998759329319, 0.4662608206272125, -0.8122779726982117], 'UpperArmL': [0.6564244627952576, 0.7472126483917236, -0.4037671685218811], 'UpperArmR': [0.3234843611717224, 0.7244099974632263, -0.39053988456726074], 'LoweArmL': [0.7535372376441956, 1.0033546686172485, -0.4264412820339203], 'LoweArmR': [0.18983913958072662, 0.9647203087806702, -0.38342106342315674], 'HandL': [0.7560951709747314, 1.2724075317382812, -0.5400216579437256], 'HandR': [0.12071914970874786, 1.1613290309906006, -0.5258142948150635], 'Hip.L': [0.5673048496246338, 1.2148383855819702, -0.026232779026031494], 'Hip.R': [0.37975212931632996, 1.2010611295700073, 0.028017204254865646], 'ShinL': [0.5595779418945312, 1.638981580734253, 0.15703406929969788], 'ShinR': [0.38089391589164734, 1.6402630805969238, 0.263954222202301], 'FootL': [0.5499807596206665, 1.9532380104064941, 0.680763840675354], 'FootR': [0.38687068223953247, 1.9665682315826416, 0.6769105195999146], 'FootL_end': [0.5265102386474609, 2.0836386680603027, 0.5099619626998901], 'FootR_end': [0.39967650175094604, 2.098942995071411, 0.41434916853904724]}"
2,1166.6666000187397,"{'Head_end': [0.49732208251953125, 0.45684120059013367, -0.6929360628128052], 'UpperArmL': [0.6551932692527771, 0.7485306859016418, -0.3188682198524475], 'UpperArmR': [0.30923891067504883, 0.7326651811599731, -0.2899699807167053], 'LoweArmL': [0.748033881187439, 1.0263928174972534, -0.3579871356487274], 'LoweArmR': [0.16968084871768951, 0.9979026913642883, -0.2711396813392639], 'HandL': [0.7637038230895996, 1.2966111898422241, -0.527714729309082], 'HandR': [0.09473033994436264, 1.2453118562698364, -0.43456530570983887], 'Hip.L': [0.5663461685180664, 1.2725836038589478, -0.041484490036964417], 'Hip.R': [0.36890119314193726, 1.267203688621521, 0.04368746280670166], 'ShinL': [0.5672816038131714, 1.7350804805755615, 0.0788499265909195], 'ShinR': [0.3813077211380005, 1.7407398223876953, 0.27283912897109985], 'FootL': [0.5589723587036133, 2.074540853500366, 0.6660181283950806], 'FootR': [0.3890337347984314, 2.086164951324463, 0.7204596996307373], 'FootL_end': [0.5414532423019409, 2.206852674484253, 0.4548521935939789], 'FootR_end': [0.40817490220069885, 2.219118595123291, 0.4169427454471588]}"
3,1933.333300024271,"{'Head_end': [0.4926338791847229, 0.4537610709667206, -0.6974693536758423], 'UpperArmL': [0.6535495519638062, 0.7495216727256775, -0.3045639395713806], 'UpperArmR': [0.30394357442855835, 0.7362064123153687, -0.2719908654689789], 'LoweArmL': [0.7470257878303528, 1.0272858142852783, -0.3194926977157593], 'LoweArmR': [0.1650102734565735, 0.9957353472709656, -0.2638724446296692], 'HandL': [0.76579749584198, 1.3219517469406128, -0.4799885153770447], 'HandR': [0.10700534284114838, 1.256205677986145, -0.467740923166275], 'Hip.L': [0.5663002729415894, 1.2983441352844238, -0.04164416342973709], 'Hip.R': [0.3572794795036316, 1.29720139503479, 0.04396762698888779], 'ShinL': [0.5720183849334717, 1.7775403261184692, 0.08842536807060242], 'ShinR': [0.3798152208328247, 1.7884050607681274, 0.2742234766483307], 'FootL': [0.5711544752120972, 2.1347758769989014, 0.6731770038604736], 'FootR': [0.3901115953922272, 2.1489675045013428, 0.7152796983718872], 'FootL_end': [0.5539235472679138, 2.273270845413208, 0.47492891550064087], 'FootR_end': [0.4215976297855377, 2.286750555038452, 0.41310548782348633]}"
4,2833.333300024271,"{'Head_end': [0.48762640357017517, 0.45317474007606506, -0.6711699962615967], 'UpperArmL': [0.6486841440200806, 0.7488992810249329, -0.2535126507282257], 'UpperArmR': [0.2993010878562927, 0.7421030402183533, -0.267609179019928], 'LoweArmL': [0.7533185482025146, 1.022816777229309, -0.3804472088813782], 'LoweArmR': [0.17428210377693176, 0.9929236769676208, -0.24824507534503937], 'HandL': [0.7767370939254761, 1.2252589464187622, -0.724591851234436], 'HandR': [0.11236473172903061, 1.2618459463119507, -0.4577520787715912], 'Hip.L': [0.566429853439331, 1.3134490251541138, -0.03462335839867592], 'Hip.R': [0.35067662596702576, 1.3120267391204834, 0.036570776253938675], 'ShinL': [0.5656224489212036, 1.7812529802322388, 0.10258124768733978], 'ShinR': [0.36112841963768005, 1.7916452884674072, 0.233162522315979], 'FootL': [0.5707505941390991, 2.152639865875244, 0.6878441572189331], 'FootR': [0.3714130222797394, 2.1630141735076904, 0.6622136831283569], 'FootL_end': [0.5501345992088318, 2.2788548469543457, 0.4958129823207855], 'FootR_end': [0.42045682668685913, 2.3015098571777344, 0.32090136408805847]}"
5,3866.666600033641,"{'Head_end': [0.4844173491001129, 0.4538302421569824, -0.7106093168258667], 'UpperArmL': [0.648474395275116, 0.7499670386314392, -0.22665083408355713], 'UpperArmR': [0.2995491027832031, 0.7425121068954468, -0.2828535735607147], 'LoweArmL': [0.790683388710022, 1.021033525466919, -0.3218146860599518], 'LoweArmR': [0.1711847484111786, 0.9838186502456665, -0.2776350975036621], 'HandL': [0.8606521487236023, 1.1919898986816406, -0.6767376661300659], 'HandR': [0.08459730446338654, 1.2365132570266724, -0.4998944401741028], 'Hip.L': [0.5693539381027222, 1.3346606492996216, -0.029109308496117592], 'Hip.R': [0.34609320759773254, 1.332270860671997, 0.0328536331653595], 'ShinL': [0.5599105358123779, 1.8194262981414795, 0.11643967777490616], 'ShinR': [0.338052362203598, 1.8335076570510864, 0.23637601733207703], 'FootL': [0.5655345320701599, 2.208967924118042, 0.7722626328468323], 'FootR': [0.352216899394989, 2.2234792709350586, 0.654938817024231], 'FootL_end': [0.5433771014213562, 2.3323850631713867, 0.556468665599823], 'FootR_end': [0.4187021851539612, 2.3660550117492676, 0.3157350420951843]}"
6,5033.333300039172,"{'Head_end': [0.4833383560180664, 0.4546761214733124, -0.7388800978660583], 'UpperArmL': [0.6468642950057983, 0.7496393322944641, -0.1358366310596466], 'UpperArmR': [0.295551598072052, 0.744723379611969, -0.24831858277320862], 'LoweArmL': [0.8360222578048706, 0.9661810994148254, -0.320578396320343], 'LoweArmR': [0.10784832388162613, 0.9693637490272522, -0.38498520851135254], 'HandL': [0.9755027890205383, 0.9607827663421631, -0.7601598501205444], 'HandR': [0.023890981450676918, 1.10335373878479, -0.7902212142944336], 'Hip.L': [0.576048731803894, 1.3344496488571167, -0.00992470420897007], 'Hip.R': [0.347771555185318, 1.3387055397033691, 0.01398527342826128], 'ShinL': [0.5654290914535522, 1.8087564706802368, 0.12723591923713684], 'ShinR': [0.3416779637336731, 1.8292843103408813, 0.1889817863702774], 'FootL': [0.568221390247345, 2.218916893005371, 0.7498577833175659], 'FootR': [0.35921362042427063, 2.2412028312683105, 0.534243643283844], 'FootL_end': [0.5440297722816467, 2.341132402420044, 0.5320125818252563], 'FootR_end': [0.4252619743347168, 2.383448362350464, 0.15766935050487518]}"
7,6300.0000000447035,"{'Head_end': [0.48018521070480347, 0.4591035544872284, -0.6853808760643005], 'UpperArmL': [0.6464590430259705, 0.7495537996292114, -0.10955808311700821], 'UpperArmR': [0.2901909351348877, 0.7444356679916382, -0.21985149383544922], 'LoweArmL': [0.8436322212219238, 0.9179256558418274, -0.34965673089027405], 'LoweArmR': [0.12309112399816513, 0.9860854744911194, -0.47868943214416504], 'HandL': [0.9746950268745422, 0.879429817199707, -0.7987322211265564], 'HandR': [0.1522095650434494, 1.028486967086792, -1.042510747909546], 'Hip.L': [0.5828437805175781, 1.3344613313674927, -2.378755880272365e-06], 'Hip.R': [0.3534051477909088, 1.33842134475708, 0.003666287288069725], 'ShinL': [0.5676079392433167, 1.811036467552185, 0.1330038607120514], 'ShinR': [0.34354403614997864, 1.8267723321914673, 0.10928186029195786], 'FootL': [0.5686060190200806, 2.2317206859588623, 0.68015456199646], 'FootR': [0.36183324456214905, 2.2437591552734375, 0.3822941482067108], 'FootL_end': [0.5443998575210571, 2.352811574935913, 0.445895254611969], 'FootR_end': [0.42529845237731934, 2.383805990219116, 0.017266318202018738]}"
8,7700.0000000447035,"{'Head_end': [0.47341251373291016, 0.46328067779541016, -0.6449265480041504], 'UpperArmL': [0.6442592144012451, 0.7438580989837646, -0.13954852521419525], 'UpperArmR': [0.2953866720199585, 0.7439015507698059, -0.1156173124909401], 'LoweArmL': [0.8381282687187195, 0.8735209107398987, -0.38083168864250183], 'LoweArmR': [0.18140938878059387, 0.9680789113044739, -0.2812991142272949], 'HandL': [0.9517701268196106, 0.8732950091362, -0.7982209324836731], 'HandR': [0.20328576862812042, 0.9987344741821289, -0.8397086262702942], 'Hip.L': [0.5837033987045288, 1.3215291500091553, -0.027936870232224464], 'Hip.R': [0.3572978675365448, 1.321047067642212, 0.030497368425130844], 'ShinL': [0.5653203725814819, 1.7668168544769287, 0.03037877008318901], 'ShinR': [0.34556126594543457, 1.7696470022201538, 0.043011222034692764], 'FootL': [0.5619018077850342, 2.183321475982666, 0.5062515139579773], 'FootR': [0.359844833612442, 2.192551612854004, 0.227032870054245], 'FootL_end': [0.5378421545028687, 2.3173182010650635, 0.28704097867012024], 'FootR_end': [0.3971898853778839, 2.334378957748413, -0.12049174308776855]}"
9,9233.333300054073,"{'Head_end': [0.4722786843776703, 0.4717687964439392, -0.6876370906829834], 'UpperArmL': [0.6417369842529297, 0.7415364980697632, -0.11893783509731293], 'UpperArmR': [0.2973024547100067, 0.7407360672950745, -0.17862287163734436], 'LoweArmL': [0.8392438888549805, 0.8279373645782471, -0.43727168440818787], 'LoweArmR': [0.18292519450187683, 0.9525575637817383, -0.3568563759326935], 'HandL': [0.9138002395629883, 0.6278833746910095, -0.8862136006355286], 'HandR': [0.20956957340240479, 0.9984624981880188, -0.8927043676376343], 'Hip.L': [0.5833449959754944, 1.3177281618118286, -0.02752167545258999], 'Hip.R': [0.35741037130355835, 1.3155467510223389, 0.030098294839262962], 'ShinL': [0.5587316155433655, 1.7822192907333374, 0.06161079555749893], 'ShinR': [0.3428094983100891, 1.778605580329895, 0.033051006495952606], 'FootL': [0.5563355088233948, 2.202151298522949, 0.539362370967865], 'FootR': [0.3540375828742981, 2.2023327350616455, 0.23606912791728973], 'FootL_end': [0.5329762697219849, 2.335123300552368, 0.32255494594573975], 'FootR_end': [0.3892093300819397, 2.344550371170044, -0.12683209776878357]}"
10,10900.000000059605,"{'Head_end': [0.4743128716945648, 0.4734734296798706, -0.6862907409667969], 'UpperArmL': [0.6411561369895935, 0.7360028624534607, -0.08724115043878555], 'UpperArmR': [0.2992229759693146, 0.7329465746879578, -0.1855172961950302], 'LoweArmL': [0.8366860151290894, 0.7972466945648193, -0.44571852684020996], 'LoweArmR': [0.16054090857505798, 0.8742797374725342, -0.4513247013092041], 'HandL': [0.901351273059845, 0.5963922739028931, -0.9198065996170044], 'HandR': [0.18833547830581665, 0.9094943404197693, -0.9741066098213196], 'Hip.L': [0.5847353339195251, 1.312301516532898, -0.026808634400367737], 'Hip.R': [0.35881611704826355, 1.312496304512024, 0.029705042019486427], 'ShinL': [0.5606562495231628, 1.7794491052627563, 0.06898005306720734], 'ShinR': [0.34538936614990234, 1.7790371179580688, -0.00821051187813282], 'FootL': [0.5594170093536377, 2.2028801441192627, 0.5610852241516113], 'FootR': [0.35685962438583374, 2.202667236328125, 0.20505674183368683], 'FootL_end': [0.538044273853302, 2.3329474925994873, 0.33475038409233093], 'FootR_end': [0.39136257767677307, 2.343409538269043, -0.17970669269561768]}"
11,12700.000000059605,"{'Head_end': [0.4744965136051178, 0.47544100880622864, -0.7312315702438354], 'UpperArmL': [0.6413098573684692, 0.7362151741981506, -0.0934021845459938], 'UpperArmR': [0.29980960488319397, 0.7271581888198853, -0.19600138068199158], 'LoweArmL': [0.8596235513687134, 0.7901586294174194, -0.2742731273174286], 'LoweArmR': [0.17061679065227509, 0.8846409916877747, -0.5006404519081116], 'HandL': [0.9564517140388489, 0.5299073457717896, -0.48907938599586487], 'HandR': [0.19190256297588348, 0.9585049152374268, -0.9576531648635864], 'Hip.L': [0.5846433043479919, 1.3286563158035278, -0.01232586894184351], 'Hip.R': [0.35750049352645874, 1.3240736722946167, 0.015470542013645172], 'ShinL': [0.5617445111274719, 1.804663062095642, 0.08456573635339737], 'ShinR': [0.3418561518192291, 1.796670913696289, -0.02574935182929039], 'FootL': [0.558937668800354, 2.226818561553955, 0.5844980478286743], 'FootR': [0.35268086194992065, 2.208577871322632, 0.21229872107505798], 'FootL_end': [0.5352168083190918, 2.3627967834472656, 0.3769184648990631], 'FootR_end': [0.3875286281108856, 2.3564865589141846, -0.15005095303058624]}"
12,14700.000000059605,"{'Head_end': [0.4796934127807617, 0.48043930530548096, -0.6837283968925476], 'UpperArmL': [0.6407012343406677, 0.7363129258155823, -0.07111136615276337], 'UpperArmR': [0.3010328710079193, 0.7207664251327515, -0.20206964015960693], 'LoweArmL': [0.843128502368927, 0.8110628128051758, -0.3292677402496338], 'LoweArmR': [0.16090354323387146, 0.8504849672317505, -0.5616615414619446], 'HandL': [0.9212806820869446, 0.7088049054145813, -0.6501952409744263], 'HandR': [0.18550562858581543, 0.8928290009498596, -1.127949595451355], 'Hip.L': [0.5781040787696838, 1.3210408687591553, -0.012194386683404446], 'Hip.R': [0.34655341506004333, 1.3167250156402588, 0.015369112603366375], 'ShinL': [0.5542020201683044, 1.7844727039337158, 0.04274534434080124], 'ShinR': [0.3319232165813446, 1.7815229892730713, -0.03341471403837204], 'FootL': [0.5454793572425842, 2.21330189704895, 0.4690064787864685], 'FootR': [0.3384513258934021, 2.206270933151245, 0.12659840285778046], 'FootL_end': [0.5248479843139648, 2.3459038734436035, 0.25134915113449097], 'FootR_end': [0.374512255191803, 2.349229574203491, -0.24055826663970947]}"
13,16833.333300068974,"{'Head_end': [0.48243898153305054, 0.48205801844596863, -0.684597373008728], 'UpperArmL': [0.6428710222244263, 0.7360076308250427, -0.07877451181411743], 'UpperArmR': [0.3036265969276428, 0.7182705998420715, -0.1784783899784088], 'LoweArmL': [0.8394360542297363, 0.8313472867012024, -0.3615533709526062], 'LoweArmR': [0.18777278065681458, 0.8681803345680237, -0.5322561264038086], 'HandL': [0.9133840799331665, 0.7015374898910522, -0.8216314315795898], 'HandR': [0.2049616128206253, 0.9353601336479187, -1.0668269395828247], 'Hip.L': [0.5850332975387573, 1.3194032907485962, -0.012857139110565186], 'Hip.R': [0.3492187559604645, 1.3161406517028809, 0.016002897173166275], 'ShinL': [0.5619916319847107, 1.787746787071228, 0.03507935255765915], 'ShinR': [0.33268624544143677, 1.785701036453247, -0.031237032264471054], 'FootL': [0.5575838088989258, 2.2165846824645996, 0.47509536147117615], 'FootR': [0.34040772914886475, 2.2104618549346924, 0.1252429187297821], 'FootL_end': [0.5322361588478088, 2.3482248783111572, 0.25367775559425354], 'FootR_end': [0.380182683467865, 2.3520472049713135, -0.24235229194164276]}"
